City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,qulsary,46.9531,54.0198,290.1,44,0,3.2,KZ,1726949372
362,sakaiminato,35.55,133.2333,298.37,89,100,7.26,JP,1726949373
363,arraial do cabo,-22.9661,-42.0278,298.07,73,0,6.69,BR,1726949374
364,batesburg-leesville,33.9101,-81.5373,305.12,52,90,2.02,US,1726949375
365,kismayo,-0.3582,42.5454,298.23,79,1,4.65,SO,1726949142
366,aalborg,57.048,9.9187,287.02,94,75,2.57,DK,1726949378
367,swakopmund,-22.6833,14.5333,286.47,83,0,0.89,NA,1726949380
368,selfoss,63.9331,-20.9971,282.62,87,100,1.68,IS,1726949381
369,antonio enes,-16.2325,39.9086,297.96,81,0,3.4,MZ,1726949382
370,laghouat,33.8,2.8651,294.58,72,100,5.08,DZ,1726949383
371,phan rang-thap cham,11.5667,108.9833,297.93,93,100,1.75,VN,1726949384
372,praya,14.9215,-23.5087,300.45,74,40,6.17,CV,1726949385
373,tura,25.5198,90.2201,299.14,82,99,1.32,IN,1726949387
374,general villegas,-35.0328,-63.0125,303.62,32,100,6.98,AR,1726949388
375,mawlamyinegyunn,16.3833,95.2667,298.38,94,100,2.71,MM,1726949389
376,torata,-17.0769,-70.8433,293.14,28,0,4.56,PE,1726949390
377,whitecourt,54.1502,-115.6855,289.04,36,84,3.63,CA,1726949391
378,cafayate,-26.073,-65.9761,302.24,16,17,5.27,AR,1726949392
379,al ghayzah,16.2079,52.176,299.02,80,5,3.58,YE,1726949393
380,fish town,5.1964,-7.8756,296.02,97,64,1.56,LR,1726949394
381,buncrana,55.1333,-7.45,284.1,95,0,2.04,IE,1726949397
382,north bend,43.4065,-124.2243,297.17,52,44,6.5,US,1726949398
383,badger,64.8,-147.5333,279.1,84,100,4.12,US,1726949399
384,wenchang,30.904,118.4887,290.21,81,92,3.17,CN,1726949400
385,envira,-7.3,-70.2167,307.66,35,79,2.47,BR,1726949401
386,coyhaique,-45.5752,-72.0662,277.35,86,34,4.61,CL,1726949282
387,mournies,35.4764,24.0092,294.37,83,40,1.54,GR,1726949403
388,howard springs,-12.497,131.047,298.1,91,0,1.71,AU,1726949405
389,barbastro,42.0356,0.1269,289.43,95,100,3.07,ES,1726949406
390,opuwo,-18.0607,13.84,295.04,19,0,2.64,NA,1726949407
391,bonthe,7.5264,-12.505,297.84,91,100,3.56,SL,1726949408
392,khromtau,50.2503,58.4347,283.42,64,1,4.11,KZ,1726949409
393,gainesville,29.6516,-82.3248,304.87,52,20,5.14,US,1726949128
394,vilyuchinsk,52.9306,158.4028,277.3,83,22,3.04,RU,1726949411
395,maragogi,-9.0122,-35.2225,297.49,73,0,3.67,BR,1726949369
396,mata-utu,-13.2816,-176.1745,300.18,84,18,8.78,WF,1726949414
397,letterkenny,54.95,-7.7333,283.73,96,17,2.08,IE,1726949415
398,la'ie,21.6477,-157.9253,302.07,71,100,3.58,US,1726949416
399,aykhal,66.0,111.5,269.68,96,72,1.5,RU,1726949417
400,guatrache,-37.6678,-63.5302,299.13,27,100,4.28,AR,1726949418
401,tarfaya,27.9358,-12.9218,294.9,80,100,6.68,MA,1726949420
402,manicore,-5.8092,-61.3003,312.54,20,96,0.73,BR,1726949421
403,san patricio,28.017,-97.5169,306.12,52,89,6.15,US,1726949422
404,nadi,-17.8,177.4167,297.15,78,40,2.06,FJ,1726949209
405,minas de marcona,-15.2119,-75.1103,291.7,51,89,3.6,PE,1726949424
406,sinabang,2.4803,96.3801,299.15,82,99,0.85,ID,1726949425
407,tazacorte,28.629,-17.9293,295.69,84,0,3.6,ES,1726949426
408,redencao,-4.2258,-38.7306,301.96,48,77,4.06,BR,1726949427
409,coracao de jesus,-16.6853,-44.365,305.55,21,33,2.96,BR,1726949428
410,smirnykh,49.75,142.8333,275.05,89,0,1.01,RU,1726949430
411,hasaki,35.7333,140.8333,299.53,85,100,7.15,JP,1726949431
412,bathsheba,13.2167,-59.5167,305.49,66,40,4.63,BB,1726949432
413,crane,31.3974,-102.3501,306.43,38,0,10.07,US,1726949433
414,ishigaki,24.3448,124.1572,302.2,84,100,10.86,JP,1726949434
415,arkhara,49.4212,130.0842,275.57,51,0,1.75,RU,1726949435
416,khoyniki,51.8911,29.9552,288.04,57,9,1.6,BY,1726949436
417,mukalla,14.5425,49.1242,300.02,77,0,1.23,YE,1726949437
418,morozovsk,48.3539,41.8261,289.47,40,2,1.66,RU,1726949438
419,el calafate,-50.3408,-72.2768,275.98,48,100,3.81,AR,1726949440
420,kirakira,-10.4544,161.9205,299.2,80,76,2.67,SB,1726949441
421,betio village,1.358,172.9211,301.16,69,5,5.3,KI,1726949442
422,utrik,11.2278,169.8474,300.86,73,100,0.86,MH,1726949443
423,chernomorskoye,45.5039,32.6997,293.86,46,2,3.15,UA,1726949444
424,ankang,32.68,109.0172,291.53,81,20,1.97,CN,1726949445
425,kavieng,-2.5744,150.7967,300.84,80,100,3.89,PG,1726949446
426,sao joao da barra,-21.6403,-41.0511,299.2,83,85,9.92,BR,1726949447
427,krasnyy kholm,58.0607,37.1203,282.05,51,9,6.2,RU,1726949448
428,palikir - national government center,6.9248,158.1611,297.56,100,100,1.54,FM,1726949449
429,antalya,36.7741,30.7178,297.48,57,75,7.72,TR,1726949190
430,panjab,34.388,67.0233,283.88,22,0,2.32,AF,1726949452
431,armidale,-30.5167,151.65,275.73,70,0,1.68,AU,1726949453
432,beeville,28.4008,-97.7483,307.38,49,75,6.17,US,1726949454
433,flin flon,54.7682,-101.865,284.79,47,100,4.5,CA,1726949455
434,acarau,-2.8856,-40.12,299.73,70,100,8.42,BR,1726949456
435,bandarbeyla,9.4942,50.8122,298.2,87,0,8.33,SO,1726949457
436,santa maria,-29.6842,-53.8069,298.2,66,19,3.71,BR,1726949345
437,howrah,22.5892,88.3103,301.15,89,75,2.57,IN,1726949461
438,kharp,66.8014,65.8081,276.97,91,100,2.9,RU,1726949462
439,iraquara,-12.2486,-41.6194,301.12,25,0,3.67,BR,1726949463
440,kirkland lake,48.1446,-80.0377,294.7,73,97,3.14,CA,1726949464
441,tamanrasset,22.785,5.5228,302.1,28,0,2.06,DZ,1726949465
442,baturaja,-4.1333,104.1667,297.49,78,65,0.89,ID,1726949466
443,pingliang,35.5392,106.6861,285.22,65,2,0.94,CN,1726949467
444,korla,41.7597,86.1469,296.54,30,0,1.95,CN,1726949469
445,pervomayskoye,43.919,46.7102,288.94,91,7,2.63,RU,1726949470
446,diu,20.7141,70.9822,298.88,85,13,4.5,IN,1726949471
447,zbaszynek,52.2431,15.8165,284.01,87,0,0.0,PL,1726949472
448,westport,41.1415,-73.3579,296.38,60,100,5.66,US,1726949473
449,guerrero negro,27.9769,-114.0611,295.31,62,15,7.9,MX,1726949474
450,sidi bouzid,35.0382,9.4849,298.2,54,100,3.29,TN,1726949475
451,selkirk,50.1436,-96.8845,288.25,74,92,3.13,CA,1726949476
452,san antonio de pale,-1.4014,5.6325,298.15,86,100,6.75,GQ,1726949477
453,nabire,-3.3667,135.4833,297.19,91,67,1.13,ID,1726949479
454,boende,-0.2167,20.8667,298.08,78,67,0.39,CD,1726949480
455,qamdo,31.1667,97.2333,280.67,77,100,1.0,CN,1726949481
456,paramaribo,5.8667,-55.1667,306.1,58,20,4.12,SR,1726949482
457,pasni,25.2631,63.471,299.78,86,92,2.63,PK,1726949484
458,bethanie,-26.4833,17.15,289.43,22,0,4.0,NA,1726949485
459,nova sintra,14.8667,-24.7167,299.92,78,100,6.24,CV,1726949486
460,cambria,35.5641,-121.0808,302.73,73,17,2.45,US,1726949487
461,lloydminster,53.2835,-110.0016,286.89,50,54,3.5,CA,1726949241
462,dingzhou,38.5131,114.9956,285.57,63,0,1.73,CN,1726949490
463,pimentel,-6.8367,-79.9342,294.31,68,0,9.26,PE,1726949491
464,virginia beach,36.8529,-75.978,300.39,72,20,3.6,US,1726949492
465,pedregal,8.3667,-82.4333,298.2,94,100,3.09,PA,1726949493
466,klaksvik,62.2266,-6.589,282.85,86,100,7.7,FO,1726949494
467,arteche,12.2645,125.4048,298.33,92,98,1.6,PH,1726949495
468,kuressaare,58.2481,22.5039,287.12,77,100,3.09,EE,1726949496
469,labuan,5.2767,115.2417,300.94,73,100,1.8,MY,1726949497
470,murzuq,25.9155,13.9184,308.15,13,22,3.4,LY,1726949498
471,rio gallegos,-51.6226,-69.2181,280.53,35,100,6.79,AR,1726949276
472,stornoway,58.2093,-6.3865,282.13,93,75,0.51,GB,1726949501
473,igarka,67.4667,86.5833,278.25,77,100,4.56,RU,1726949502
474,bridlington,54.0831,-0.1919,288.11,97,3,1.79,GB,1726949503
475,coari,-4.085,-63.1414,311.53,24,91,1.02,BR,1726949504
476,laojunmiao,39.8333,97.7333,287.38,66,0,0.91,CN,1726949505
477,powell river,49.8496,-124.5361,290.95,72,75,2.06,CA,1726949507
478,okhotsk,59.3833,143.3,277.61,47,83,2.59,RU,1726949509
479,kaedi,16.1465,-13.5047,306.11,52,100,3.74,MR,1726949510
480,nova vicosa,-17.8919,-39.3719,297.73,72,0,5.48,BR,1726949511
481,suixi,33.8907,116.7747,286.33,73,2,2.96,CN,1726949512
482,coquimbo,-29.9533,-71.3436,288.7,63,75,5.14,CL,1726949513
483,axum,14.1245,38.7244,289.29,50,20,1.44,ET,1726949514
484,piritiba,-11.7303,-40.5553,300.92,34,0,2.48,BR,1726949515
485,ulladulla,-35.35,150.4667,285.26,59,100,2.86,AU,1726949516
486,north platte,41.1239,-100.7654,296.09,28,0,8.75,US,1726949517
487,zhob,31.3411,69.4481,300.28,32,0,2.35,PK,1726949519
488,progreso,21.2833,-89.6667,303.13,84,37,4.65,MX,1726949337
